Course Code,Course Name,Credits
AR101,Introduction to Architecture,8
AR103,Visual Art I,6
AR105,Architectural Graphics I,9
AR107,Basic Design & Creative Workshop,9
AR109,Introduction to Environmental Studies,9
AR102,Architectural Design I,9
AR104,Building Materials & Construction I,7
AR106,Architectural Graphics II,9
AR108,Visual Art & Creative Workshop II,9
AR114,Geometric Techniques for Architects,8
AR201,Architectural Design II,9
AR203,Building Construction II,9
AR205,History of Architecture I,8
AR207,Climate and Architecture,8
AR209,Principles of Architecture,8
AR211,"Quantity, Pricing and Cost Estimate",8
AR202,Architectural Design III,9
AR204,Building Construction III,9
AR206,History of Architecture II,11
AR208,Environmental Science II,8
AR210,Building Code and Regulations,8
AR212,Modern World Architecture,8
AR301,Architectural Design IV,9
AR303,Building Construction IV,9
AR305,Computer Applications in Architecture,7
AR307,Landscape Architecture and Site Development,9
AR309,Building Services,8
AR316,Art in Architecture,9
AR317,Pre-Fabrication & Modular Coordination,9
AR318,Vernacular Architecture,9
AR319,Digital Architecture,9
AR302,Architectural Design V,9
AR304,Building Construction V,9
AR306,"Society, Culture & Built Environment",8
AR308,Building Science & Services II,8
AR322,Architectural Conservation,9
AR323,Low Cost Building Materials & Techniques,9
AR324,Vastu Shastra,9
AR325,Universal Designing,9
AR393,Industrial Training/Project,5
AR401,Architectural Design VI,9
AR403,Urban Design,8
AR405,Working Drawing,7
AR407,"Finishes, Materials & Specifications",7
AR409,Sustainable Architecture,8
AR411,Green Building Techniques,9
AR412,Industrial Architecture,9
AR413,Architecture and Ecology,9
AR414,Housing,9
AR402,Architectural Design VII,9
AR404,High Rise Buildings,8
AR406,Interior Design,8
AR408,Urban Planning,8
AR410,Housing (Advanced),8
AR421,Construction Project Management,9
AR422,Ekistics,9
AR423,Parametric Architecture,9
AR424,Intelligent Buildings,9
AR502,Office Administration,2
AR504,Site Visits & Field Observation,5
AR506,Interaction with Consultants,5
AR508,Presentations & Approval of Drawings,7
AR510,Working & Detail Drawings,7
AR503,"Professional Practice, Valuation & Arbitration",13
AR505,Comprehensive Viva-Voce,0
AR507,Professional Practice & Building Byelaws,9
AR511,Architectural Journalism,9
AR512,Cinema and Architecture,9
AR513,Futuristic Architecture,9
AR514,Specialty Buildings,9
