Course Code,Course Name,Credits
BC101,Biochemical Engineering Practice,6
CHO202,Chemical Reaction Engineering-I,8
BC201,Advances in Biochemistry,13
BC291,Exploratory Project,5
BC211,Microbial Process Principles,8
BC212,Bioprocess Calculations,8
BC221,Fundamentals of Microbiology,11
BC311,Microbial Engineering,11
BC323,Enzyme Engineering,13
BC312,Bioprocess Technology,9
BC314,Bioreactor Design,11
BC301,Bioinstrumentation & Control,9
BC332,Molecular Biology & Genetic Engineering,11
BC401,Downstream Processing,9
BC402,Food Engineering & Technology,11
BC404,Bio Conversion,11
BC434,Fundamentals of Bioinformatics,9
BC424,Animal Cell Culture,9
BC416,Advance Bio Reactor Design,9
BC403,Bioprocess Plant Design,9
BC417,Bioprocess simulation,9
BC425,Cell & tissue Engineering,9
BC435,rDNA Technology,9
BC591,M.Tech.Thesis,20
BC501,Bio Business Planning & Management,9
BC502,Regulatory aspects in Bio Technology,9
BC536,Protein Engineering,9
BC526,Metabolic Engineering,9
BC516,Biosensor,9
BC511,Biological Engineering,9
BC512,Bio Process Instrumentation & Control,9
BC513,Advanced Fermentation Technology,9
MA553,Mathematics for Biochemical Engineers,9
BC536,Protein Engineering,9
BC532,Bioinformatics,9
BC514,Food Biotechnology,9
BC533,Advanced Microbiology & Biochemistry,9
BC515,Design and Scale-up of Biological Reactor,9
BC521,Advanced Enzyme Engineering,9
BC516,Bio-Separation Processes,9
BC534,Genetic Engineering,9
BC517,Transport Phenomena in Microbial System,9
BC518,Biological Waste Water,9
BC519,Treatment/Bioprocess Plant Design,9
