Course Code,Course Name,Credits
CY101,Chemistry - I,10
CY102,Chemistry - II,13
CHO103,Process Calculation,8
CHI101,Industrial Chemistry Practice Course,6
CHO201,Chemical Reaction Engineering - I,8
CHI211,Classical and Statistical Thermodynamics,9
CHI291,Exploratory Project,5
CHO203,Chemical Reaction Engineering - II,8
CHO204,Chemical Reaction Engineering Laboratory,2
CHI212,Quantum Chemistry and Molecular Spectroscopy,9
CHI241,Chemistry of Coordination Compounds,12
CHI341,Chemistry of Transition and Inner Transition Elements,11
CHI351,Chemistry of Heterocylic Compounds,12
CHI321,Reaction Kinetics,11
CHI391,Stream Project (Hons.)@,10
CHO301,Chemical Technology - I,6
CHI301,Petrochemicals and Polymers,9
CHI331,Environmental Chemistry,6
CHI352,Synthesis and Mechanism in Organic Chemistry,11
CHI322,Electro Chemistry and Surface Phenomena,9
CHI311,Molecular Simulation & Cheminformatics,9
CHI332,Waste Management Technology,9
CHI441,Organometallic Chemistry,9
CHI451,Spectroscopic Identification of Organic Compounds,9
CHI403,Nuclear and Radiation Chemistry,9
CHI421,Solid State Chemistry,9
CHI422,Corrosion Chemistry,9
CHI431,Bioremediation,9
CHI452,Chemistry of Bio-molecules,9
CHI442,Bio-inorganic Chemistry,9
CHI461,Instrumental Methods of Chemical Analysis,9
CHI423,Adsorption and Heterogeneous Catalysis,9
CHI432,Advance Treatement Proceses for Water and Waste Water,9
CHI561,Sensor Science and Technology,9
CHI541,Supramolecular Chemistry,9
CHI501,Green Chemistry,9
