Course Code,Course Name,Credits
CY-101,Chemistry - I,10
CY-102,Chemistry - II,13
CHO-103,Process Calculation,8
CHI-101,Industrial Chemistry Practice Course,6
CHO-201,Chemical Reaction Engineering - I,8
CHI-211,Classical and Statistical Thermodynamics,9
CHI-291,Exploratory Project,5
CHO-203,Chemical Reaction Engineering - II,8
CHO-204,Chemical Reaction Engineering Laboratory,2
CHI-212,Quantum Chemistry and Molecular Spectroscopy,9
CHI-241,Chemistry of Coordination Compounds,12
CHI-341,Chemistry of Transition and Inner Transition Elements,11
CHI-351,Chemistry of Heterocylic Compounds,12
CHI-321,Reaction Kinetics,11
CHI-391,Stream Project (Hons.)@,10
CHO-301,Chemical Technology - I,6
CHI-301,Petrochemicals and Polymers,9
CHI-331,Environmental Chemistry,6
CHI-352,Synthesis and Mechanism in Organic Chemistry,11
CHI-322,Electro Chemistry and Surface Phenomena,9
CHI-311,Molecular Simulation & Cheminformatics,9
CHI-332,Waste Management Technology,9
CHI-441,Organometallic Chemistry,9
CHI-451,Spectroscopic Identification of Organic Compounds,9
CHI-403,Nuclear and Radiation Chemistry,9
CHI-421,Solid State Chemistry,9
CHI-422,Corrosion Chemistry,9
CHI-431,Bioremediation,9
CHI-452,Chemistry of Bio-molecules,9
CHI-442,Bio-inorganic Chemistry,9
CHI-461,Instrumental Methods of Chemical Analysis,9
CHI-423,Adsorption and Heterogeneous Catalysis,9
CHI-432,Advance Treatement Proceses for Water and Waste Water,9
CHI-561,Sensor Science and Technology,9
CHI-541,Supramolecular Chemistry,9
CHI-501,Green Chemistry,9
