Course Code,Course Name,Credits
CSO101,Computer Programming,13
CSO204,Discrete Maths,9
CSO102,Data Structures,11
CSE352,Computer Vision,9
CSE342,Intelligent Computing,9
CSE454,Pattern Recognition,9
CSE464,Machine Learning,9
CSE456,Biometrics,9
CSE362,Data Mining,9
CSE371,Parallel Computing,9
CSE472,Distributed Computing,9
CSE103,Information Technology Workshop-I,9
CSO211,Computer  System Organization,11
CSE205,Information Technology Workshop-II,9
CSE241,Artificial Intelligence,11
CSO221,Algorithms,11
CSO231,Operating Systems,11
CSE291,Exploratory Project,5
CSE361,Database Management System,11
CSO351,Computer Graphics,11
CSE443,Natural Language Processing,9
CSO323,Graph Theory and Applications,9
CSE353,Multimedia Systems,9
CSO332,Ubiquitous Computing,9
CSE372,Introduction to High Performance Computing,9
CSE381,Software Engineering,11
CSO322,Theory of Computation,9
CSE312,Computer Architecture,11
CSE324,Operations Research,9
CSE363,Information Retrieval,9
CSE425,Compiler Design,11
CSO445,Game Theory,9
CSE444,Neural Networks,9
CSE434,Fault Tolerant Computing,9
CSE435,Real Time Systems,9
CSE583,Advanced Software Engg.,9
CSE559,Medical Image Processing,9
CSE529,BioInformatics Algorithms,9
CSE582,Software Reuse and Re-engineering,9
CSE539,Social Network Analysis,9
CSE573,Parallel Algorithms,9
CSE530,Information Security,9
CSE546,Robotics,9
CSE585,Software Engineering Project Management,9
CSE574,Cloud Computing,9
CSE433,Computer Networks,11
CSE436,Cyber Security,9
CSE426,Cryptography,9
CSE457,Data Compression,9
CSE458,Soft Computing,9
CSE465,Advanced Databases,9
CSE537,Network Security,9
CSE528,Approximation Algorithms,9
CSE538,Semantic Web,9
CSE568,Web Mining,9
