Course Code,Course Name,Credits
EO-102,Fundamentals of Electronics & Instrumentation Engineering,13
EE-101,Electrical Circuits and Measurement,13
PE-102,Elementary Physical Education,5
CMO-101,Basics of Mechanical Engineering,11
EE-221,DC Machines & Transformer,13
EE-261,Electrical Engineering Practice,5
EE-241,Power Transmission & Distribution,13
EE-231,Power Electronic Devices & Converters,13
EE-211,Linear Control Systems,13
EE-272,Exploratory Project,5
EO-301,Digital Circuits & Systems,11
EE-342,Power System Protection and Switchgear,11
EE-322,Synchronous and Induction Machines,11
EE-343,Power System Analysis & Control,11
EE-332,Analysis & Applications of Power Electronic Converters,11
EE-323,Condition Monitoring and energy conservation,9
EE-401,"Design & Simulation of Electrical Systems (PS, CS, MD & PE)",8
EE-413,Digital Control System,9
EE-447,High Voltage Engineering,11
EE-414,Optimal and Adaptive control System,9
EE-415,Special Topics in Control Systems,9
