Course Code,Course Name,Credits
H103,Development of Societies,8
H104,History and Civilization,8
H105,Philosophy,8
H106,Education and Self,8
H102,"Universal Human Values – II (Self, Society and Nature)",5
H101,Universal Human Values-I: Self and Family,5
HL101,Basic English,7
PE101,Elementary Physical Education,5
CP111,Music-Instrumental,5
CP112,Music-Vocal,5
CP113,Dance,5
CP121,Painting,5
CP122,Sculpture,5
CP123,Advertising,5
H7102,Research Methodology,11
H7104,Academic Argumentation,11
H7106,Advance Qualitative Research Methods,11
H7107,Research Communication,11
H7301,Logic ir Language,11
H7211,Current Trends in Linguistics,11
H7202,Computational Linguistics,11
H7205,Syntax,11
H7206,Corpus Linguistics,11
H7204,Introductior to Linguistics - 1,11
H7208,Introductior to Linguistics - 2,11
H7203,Linguistic Data: Collection and Analysis,11
H7213,Sociolinguistics,11
H7207,Linguistic Data: Collection and Modelling,11
H7209,Sanskrit Paninian Grammar,11
H7112,Advanced Paninian Grammar Formalism,11
H7403,Literary Theories in Practice,11
H7407,Contemporary Literary Theory,11
H7406,Writing in the Literary Genre,11
H7405,Narratives & Worldmaking,11
H7705,Film Theory & Criticism,11
H7701,Masculinity Studies,11
H7702,Cultural Studies,11
H7501,Anthropology of Gender,11
H7704,The Gift: Anthropological and Philosophical Perspectives,11
H7502,Genealogies of Anthropologica! Theories,11
H7703,Urban Environment Management,11
H7301,Gandhian thought and Peace Studies,11
