Course Code,Course Name,Credits
MA-101,Engineering Mathematics - I,11
MA-102,Engineering Mathematics - II,11
MA-103,Algebra,11
MA-104,Information Technology and Computing Workshop,6
MA-202,Probability and Statistics,11
CSO-201,Discrete Mathematics,9
CSO-202,Computer System Organization,11
MA-201,Numerical Techniques,11
MA-203,Mathematical Methods,11
CSO-203,Algorithms#,11
MA-311,Linear Algebra,9
MA-312,Differential Equations,9
CSM-321,Mathematical Modeling and Simulation,11
CSM-322,Information and Coding Theory,11
MA-313,Real and Complex Analysis,9
MA-323,Fluid Dynamics,9
CSO-324,Operation Research,9
MA-341,Stochastic Process,11
MA-314,Number Theory,11
CSM-323,Discrete Optimization and Network,9
MA-411,Topology and Functional Analysis,9
