Course Code,Course Name,Credits
MT-101,Introduction to Metallurgy and Materials Engineering,6
MT-102,Metallurgical Thermodynamics and Kinetics,11
MT-103,Metallurgical Practices – I,3
MT-201,Structure of Materials,11
MT-202,Principles of Extractive Metallurgy,9
MT-203,Materials Testing,9
MT-204,Extractive Metallurgy Practical,3
MT-205,Phase Diagrams,9
MT-206,Transport Phenomena Practical,3
MT-207,Materials Testing Practical,3
MT-211,Iron Making Technologies,9
MT-221,Metallography Techniques,9
MT-222,Metallography Techniques Practical,3
MT-291,Exploratory Project,5
MT-301,Mechanics of Deformation and Fracture,9
MT-302,Non-Ferrous Extractive Metallurgy,9
MT-311,Steel Making Technologies,9
MT-321,Phase Transformations,9
MT-313,Metallurgical Practices-II: Ferrous Metallurgy,3
MT-303,Nuclear Metallurgy,9
MT-312,Fuels & Refractories,9
MT-322,Instrumental Analysis,9
MT-304,Heat Treatment,9
MT-305,Heat Treatment Practical,3
MT-314,Materials Processing Technologies,9
MT-323,Mechanical Behaviour of Materials,9
MT-306,Composite Materials,9
MT-315,Alternative Routes of Iron and Steel Making,9
MT-324,Electronic and Magnetic Materials,9
MT-408,Automotive and Aerospace Materials,9
MT-401,Corrosion and Prevention,6
MT-402,Electrometallurgy and Corrosion Practical,3
MT-411,Metallurgical Practices-III : Materials Processing,2
MT-551,"Wear, Friction and Lubrication",9
MT-583,Stainless Steel Technologies,9
MT-413,Non-Metallic Materials,9
MT-403,Materials Selection and Design,9
MT-404,Modeling and Simulation in Metallurgy,9
MT-409,Modeling and Simulation in Metallurgy Practical,3
MT-423,Cast Iron Technology,9
MT-523,Alloy Steel Production Technology,9
MT-524,Physical Metallurgy of Alloy Steel,9
MT-406,Advanced Processing Technologies,9
MT-407,Energy and Environment in Metallurgical Industries,9
MT-568,Metal Joining Technology,9
