Course Code,Course Name,Credits
BL-101,Biology,11
CMO-103,Engineering Thermodynamics,11
PH-101,Basics of Pharmaceutical Sciences,9
PH-211,Physical Pharmaceutics,9
PH-221,Pharmaceutical Chemistry,9
PH-222,Bioorganic and Medicinal Chemistry,9
PH-231,General Pharmacology,11
PH-241,General Pharmacognosy,9
PH-251,Pharmaceutical Analysis,8
PH-291,Exploratory Project,5
HL-201,"Universal Human Values - II: Self, Society and Family",5
PH-311,Pharmaceutical Technology,11
PH-331,General Pharmacotherapeutics,9
PH-341,Natural Drugs and Excipients,8
PE-301,Advanced Physical Education,10
PH-301,Pharmaceutical Jurisprudence,6
PH-321,Chemistry of Synthetic Drugs,9
PH-312,Hospital and Clinical Pharmacy,11
PH-322,Chemistry of Natural Drugs,11
PH-332,Neuropharmacology,11
PH-342,Industrial Pharmacognosy,11
PH-451,Pharmaceutical Instrumental Analysis,9
PH-411,Biopharmaceutics,9
PH-421,Computational Chemistry,9
PH-432,Neuropharmacotherapeutics,9
PH-441,Plant Tissue Culture,9
PH-452,Spectroscopy,9
PH-511,Advanced Biopharmaceutics,9
PH-521,Advanced Medicinal Chemistry,9
PH-531,Applied Pharmacology,9
PH-541,Evaluation of Natural Drugs,9
PH-412,Dosage Formulation Design,9
PH-442,Analytical Pharmacognosy,9
PH-413,Industrial Pharmacy,9
PH-422,Computational Drug Design,9
PH-433,Toxicology,9
PH-443,Nutraceuticals and Herbal Cosmetics,9
PH-453,Quality Assurance,9
H-401,Language & Management,9
