Course Code,Course Name,Credits
BL101,Biology,11
CMO103,Engineering Thermodynamics,11
PH101,Basics of Pharmaceutical Sciences,9
PH211,Physical Pharmaceutics,9
PH221,Pharmaceutical Chemistry,9
PH222,Bioorganic and Medicinal Chemistry,9
PH231,General Pharmacology,11
PH241,General Pharmacognosy,9
PH251,Pharmaceutical Analysis,8
PH291,Exploratory Project,5
HL201,"Universal Human Values-II: Self, Society and Family",5
PH311,Pharmaceutical Technology,11
PH331,General Pharmacotherapeutics,9
PH341,Natural Drugs and Excipients,8
PE301,Advanced Physical Education,10
PH301,Pharmaceutical Jurisprudence,6
PH321,Chemistry of Synthetic Drugs,9
PH312,Hospital and Clinical Pharmacy,11
PH322,Chemistry of Natural Drugs,11
PH332,Neuropharmacology,11
PH342,Industrial Pharmacognosy,11
PH451,Pharmaceutical Instrumental Analysis,9
PH411,Biopharmaceutics,9
PH421,Computational Chemistry,9
PH432,Neuropharmacotherapeutics,9
PH441,Plant Tissue Culture,9
PH452,Spectroscopy,9
PH511,Advanced Biopharmaceutics,9
PH521,Advanced Medicinal Chemistry,9
PH531,Applied Pharmacology,9
PH541,Evaluation of Natural Drugs,9
PH412,Dosage Formulation Design,9
PH442,Analytical Pharmacognosy,9
PH413,Industrial Pharmacy,9
PH422,Computational Drug Design,9
PH433,Toxicology,9
PH443,Nutraceuticals and Herbal Cosmetics,9
PH453,Quality Assurance,9
H401,Language & Management,9
PH501,Advanced Instrumental Analysis,12
PH503,Spectroscopy,9
PH502,Drug Regulatory Affairs,9
PH504,Applied Pharmacology,9
PH505,Spectroscopy lab,3
PH512,Novel Drug Delivery Systems,9
PH513,Pharmacokinetics,9
PH514,Nanopharmaceutics,9
PH515,Industrial Pharmacy,9
PH522,Advances in Drug Synthesis,9
PH523,Chemistry of Natural Products,9
PH524,Medicinal Chemistry of Antiinfectives,9
PH525,Computational Drug Design,9
PH532,Advanced Pharmacology,9
PH533,Molecular Pharmacology,9
PH534,Clinical Pharmacology,9
PH535,Neuropharmacology,9
PH536,Toxicology,9
PH542,Medicinal Plant Biotechnology,9
PH543,Herbal Drug Formulation & Standardization,9
PH545,Separation Techniques of Bioactives,9
PH546,Medicinal Natural Products,9
PH-7101,Advanced Chemical and Bioanalytical Techniques,4
PH-7102,Advanced Pharmaceutics,4
PH-7103,Advanced Pharmaceutical Chemistry,4
PH-7104,Advanced Pharmacology,4
PH-7105,Advanced Pharmacognosy,4
PH-7201,Advanced Spectral Techniques,4
PH-7202,Research Methodology,4
PH-7203,Drug Regulatory Affairs,4
